,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
155,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
156,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
157,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
158,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
159,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
160,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
161,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
162,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
163,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
164,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
165,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
166,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
167,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
168,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
169,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
170,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
171,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
172,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
173,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
174,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
175,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
176,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
177,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
